class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
AFVS 150A,57%,43%,0%,0%,0%,4.57,4.17,43%,43%,0%,14%,0%,4.14,4.16,50%,33%,17%,0%,0%,4.33,4.02,50%,33%,17%,0%,0%,4.33,4.03,0%,100%,0%,0%,0%,4.00,4.17,9.43
AFVS 150B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 151BR,57%,14%,14%,14%,0%,4.14,4.17,40%,60%,0%,0%,0%,4.40,4.15,50%,50%,0%,0%,0%,4.50,4.00,29%,43%,0%,29%,0%,3.71,3.95,100%,0%,0%,0%,0%,5.00,4.10,9.86
AFVS 152F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 153BR,71%,29%,0%,0%,0%,4.71,4.22,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.10,67%,33%,0%,0%,0%,4.67,4.11,100%,0%,0%,0%,0%,5.00,4.25,8.71
AFVS 153BR,71%,29%,0%,0%,0%,4.71,4.22,100%,0%,0%,0%,0%,5.00,4.22,100%,0%,0%,0%,0%,5.00,4.10,67%,33%,0%,0%,0%,4.67,4.11,100%,0%,0%,0%,0%,5.00,4.25,8.71
AFVS 157K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 158AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 158BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 158CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 158DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 159H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFVS 160,73%,27%,0%,0%,0%,4.73,4.22,80%,13%,0%,7%,0%,4.67,4.22,80%,13%,7%,0%,0%,4.73,4.10,93%,0%,0%,7%,0%,4.80,4.11,100%,0%,0%,0%,0%,5.00,4.25,3.71
AFVS 164L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
